id,sentence1,sentence2,paraphrase_type_ids,sentence1_segment_location,sentence2_segment_location,sentence1_tokenized,sentence2_tokenized
6b4f812b-e71b-4b52-aeef-905374b0eb67,"No charges have been filed in those deaths, but prosecutor David Lupas said authorities were making progress in the case.","No charges have been filed in those deaths, but Luzerne County District Attorney David Lupas said authorities were ""continuing to make significant progress"" in the case.","[6, 6, 25, 25, 29, 21]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 25, 6, 0, 0, 0, 0, 0, 0, 6, 6, 6, 25, 6, 0, 0, 0, 0, 0]","['No', 'charges', 'have', 'been', 'filed', 'in', 'those', 'deaths', ',', 'but', 'prosecutor', 'David', 'Lupas', 'said', 'authorities', 'were', 'making', 'progress', 'in', 'the', 'case', '.']","['No', 'charges', 'have', 'been', 'filed', 'in', 'those', 'deaths', ',', 'but', 'Luzerne', 'County', 'District', 'Attorney', 'David', 'Lupas', 'said', 'authorities', 'were', '``', 'continuing', 'to', 'make', 'significant', 'progress', ""''"", 'in', 'the', 'case', '.\n']"
7cc3cd28-79f7-4cfb-a83d-3ceccb8059f2,"His mother contacted the Federal Public Defender's office in Sacramento, which has agreed to handle his surrender, she says.",His family approached the federal defender's office in Sacramento Friday about arranging his surrender.,"[4, 6, 5, 5, 24, 25, 25, 25, 29]","[6, 6, 5, 0, 4, 25, 4, 0, 0, 0, 0, 24, 24, 24, 24, 24, 24, 24, 24, 25, 25, 25, 0]","[6, 6, 5, 25, 4, 4, 25, 25, 25, 25, 25, 24, 24, 24, 24, 25]","['His', 'mother', 'contacted', 'the', 'Federal', 'Public', 'Defender', ""'s"", 'office', 'in', 'Sacramento', ',', 'which', 'has', 'agreed', 'to', 'handle', 'his', 'surrender', ',', 'she', 'says', '.']","['His', 'family', 'approached', 'the', 'federal', 'defender', ""'s"", 'office', 'in', 'Sacramento', 'Friday', 'about', 'arranging', 'his', 'surrender', '.\n']"
c5148c50-6df1-4622-abe8-f1cebfbfd339,Mr. Young said he was disappointed that the government didn't see the severe acute respiratory syndrome crisis as worthy of federal disaster-relief money.,Young said he was disappointed the government didn't see the SARS crisis as worthy of federal disaster relief money.,"[4, 4, 7, 24, 29]","[24, 24, 29, 29, 29, 29, 24, 29, 29, 29, 29, 29, 29, 24, 24, 24, 24, 29, 29, 29, 29, 29, 24, 29, 29]","[24, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 24, 29, 29, 29, 29, 29, 24, 24, 29, 29]","['Mr.', 'Young', 'said', 'he', 'was', 'disappointed', 'that', 'the', 'government', 'did', ""n't"", 'see', 'the', 'severe', 'acute', 'respiratory', 'syndrome', 'crisis', 'as', 'worthy', 'of', 'federal', 'disaster-relief', 'money', '.']","['Young', 'said', 'he', 'was', 'disappointed', 'the', 'government', 'did', ""n't"", 'see', 'the', 'SARS', 'crisis', 'as', 'worthy', 'of', 'federal', 'disaster', 'relief', 'money', '.\n']"
55e90cef-1745-4884-9056-70ceb8e34ba2,His dissent was joined by Chief Justice William H. Rehnquist and Justice Clarence Thomas.,Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas dissented.,"[24, 25]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]","[24, 24, 24, 24, 24, 24, 24, 0, 0, 0, 24, 24, 24, 24]","['His', 'dissent', 'was', 'joined', 'by', 'Chief', 'Justice', 'William', 'H.', 'Rehnquist', 'and', 'Justice', 'Clarence', 'Thomas', '.']","['Chief', 'Justice', 'William', 'H.', 'Rehnquist', 'and', 'Justices', 'Antonin', 'Scalia', 'and', 'Clarence', 'Thomas', 'dissented', '.\n']"
87da9a0a-7fef-46ed-b3e5-d84f774b25cc,But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.,"China is scrambling to stop the disease from spreading to the countryside, where most of its 1.3 billion people live.","[6, 6, 6, 25, 25, 29, 21]","[25, 6, 6, 0, 0, 0, 6, 6, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","['But', 'the', 'country', 'is', 'scrambling', 'to', 'prevent', 'it', 'spreading', 'to', 'the', 'vast', 'countryside', 'where', 'most', 'of', 'its', '1.3', 'billion', 'people', 'live', '.']","['China', 'is', 'scrambling', 'to', 'stop', 'the', 'disease', 'from', 'spreading', 'to', 'the', 'countryside', ',', 'where', 'most', 'of', 'its', '1.3', 'billion', 'people', 'live', '.\n']"
66b55250-07ea-42a8-8968-14739a01c5c5,"The other 18 people inside the building - two visitors and 16 employees, including Harrison's ex-girlfriend - escaped without injury, Aaron said.","The other 18 people in the building, including Harrison's ex-girlfriend, were not injured, police spokesman Don Aaron said.","[5, 6, 7, 25, 25, 29, 21]","[25, 25, 25, 25, 5, 25, 25, 29, 25, 25, 25, 25, 25, 25, 29, 29, 29, 29, 29, 6, 6, 6, 25, 7, 25, 25]","[25, 25, 25, 25, 5, 25, 25, 29, 29, 29, 29, 29, 29, 6, 6, 6, 25, 25, 25, 7, 7, 25, 25]","['The', 'other', '18', 'people', 'inside', 'the', 'building', '-', 'two', 'visitors', 'and', '16', 'employees', ',', 'including', 'Harrison', ""'s"", 'ex-girlfriend', '-', 'escaped', 'without', 'injury', ',', 'Aaron', 'said', '.']","['The', 'other', '18', 'people', 'in', 'the', 'building', ',', 'including', 'Harrison', ""'s"", 'ex-girlfriend', ',', 'were', 'not', 'injured', ',', 'police', 'spokesman', 'Don', 'Aaron', 'said', '.\n']"
097c2a96-756a-4d7a-b56a-bf3a43da233a,The acquisition has been approved by both companies' board of directors and is expected to close in the third quarter this year.,"Nvidia's acquisition has been approved by directors at both companies, and is expected to close in the Nvidia's third quarter of fiscal 2004.","[11, 25, 25, 29, 30, 21]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 25, 25, 25, 25, 25, 25, 25]","[25, 25, 29, 29, 29, 29, 29, 11, 11, 11, 11, 0, 29, 29, 29, 29, 29, 29, 29, 25, 25, 29, 29, 0, 0, 0, 29]","['The', 'acquisition', 'has', 'been', 'approved', 'by', 'both', 'companies', ""'"", 'board', 'of', 'directors', 'and', 'is', 'expected', 'to', 'close', 'in', 'the', 'third', 'quarter', 'this', 'year', '.']","['Nvidia', ""'s"", 'acquisition', 'has', 'been', 'approved', 'by', 'directors', 'at', 'both', 'companies', ',', 'and', 'is', 'expected', 'to', 'close', 'in', 'the', 'Nvidia', ""'s"", 'third', 'quarter', 'of', 'fiscal', '2004', '.\n']"
ab59f8a1-2472-44c2-875b-075ea26484eb,"The man, Fazul Abdullah Mohammed, a Comoros islander, is on the U.S. FBI's list of most wanted suspects.","A Comoros islander, he is on the United States' list of most wanted suspects.","[4, 6, 26, 25, 29]","[6, 6, 6, 6, 6, 6, 6, 26, 26, 26, 26, 0, 0, 0, 4, 25, 0, 0, 0, 0, 0, 0, 0]","[26, 26, 26, 26, 6, 25, 25, 25, 4, 4, 0, 25, 25, 25, 25, 25, 25]","['The', 'man', ',', 'Fazul', 'Abdullah', 'Mohammed', ',', 'a', 'Comoros', 'islander', ',', 'is', 'on', 'the', 'U.S.', 'FBI', ""'s"", 'list', 'of', 'most', 'wanted', 'suspects', '.']","['A', 'Comoros', 'islander', ',', 'he', 'is', 'on', 'the', 'United', 'States', ""'"", 'list', 'of', 'most', 'wanted', 'suspects', '.\n']"
4838a3dc-52b4-4ef7-b2c4-69ac474836f9,"Mr. Bremer said Iran continued to interfere in fledgling political reconstruction, including Tehran s intelligence service.","Mr. Bremer said that Iran, including its intelligence service, continued to interfere in fledgling political reconstruction.","[6, 24, 26, 29]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 26, 26, 26, 26, 26, 26, 29]","[29, 29, 29, 24, 29, 26, 26, 26, 26, 26, 26, 29, 29, 29, 29, 29, 29, 29, 29]","['Mr.', 'Bremer', 'said', 'Iran', 'continued', 'to', 'interfere', 'in', 'fledgling', 'political', 'reconstruction', ',', 'including', 'Tehran', 's', 'intelligence', 'service', '.']","['Mr.', 'Bremer', 'said', 'that', 'Iran', ',', 'including', 'its', 'intelligence', 'service', ',', 'continued', 'to', 'interfere', 'in', 'fledgling', 'political', 'reconstruction', '.\n']"
800f9b2d-7a55-47b5-aa4d-bb644e036f88,"Dr. Sutherland, 65, was a co-founder of Evans  Sutherland, an early maker of high-performance computers.","Sutherland is the 65-year-old computing pioneer who co-founded Evans  Sutherland, which made high-performance graphics computers.","[11, 11, 18, 18, 26, 25, 29]","[18, 18, 26, 26, 26, 18, 18, 18, 18, 18, 18, 18, 25, 18, 18, 18, 18, 18, 18, 25]","[18, 18, 18, 26, 25, 25, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 0]","['Dr.', 'Sutherland', ',', '65', ',', 'was', 'a', 'co-founder', 'of', 'Evans', '', 'Sutherland', ',', 'an', 'early', 'maker', 'of', 'high-performance', 'computers', '.']","['Sutherland', 'is', 'the', '65-year-old', 'computing', 'pioneer', 'who', 'co-founded', 'Evans', '', 'Sutherland', ',', 'which', 'made', 'high-performance', 'graphics', 'computers', '.\n']"
dd0c8355-d305-42da-81e6-acc735bb832f,"A 114-year-old Japanese woman who had assumed the title of the world's oldest person last month died Thursday, a spokesperson for Hiroshima city said.","A 114-year-old Japanese woman who just weeks ago assumed the title of the world's oldest person died today, a Hiroshima official said.","[5, 11, 11, 1, 29, 30, 30]","[29, 29, 29, 29, 29, 1, 1, 29, 29, 29, 29, 29, 29, 29, 29, 30, 30, 29, 30, 29, 11, 11, 11, 11, 11, 29, 29]","[29, 29, 29, 29, 29, 30, 30, 30, 1, 29, 29, 29, 29, 29, 29, 29, 29, 29, 30, 29, 11, 11, 11, 29, 29]","['A', '114-year-old', 'Japanese', 'woman', 'who', 'had', 'assumed', 'the', 'title', 'of', 'the', 'world', ""'s"", 'oldest', 'person', 'last', 'month', 'died', 'Thursday', ',', 'a', 'spokesperson', 'for', 'Hiroshima', 'city', 'said', '.']","['A', '114-year-old', 'Japanese', 'woman', 'who', 'just', 'weeks', 'ago', 'assumed', 'the', 'title', 'of', 'the', 'world', ""'s"", 'oldest', 'person', 'died', 'today', ',', 'a', 'Hiroshima', 'official', 'said', '.\n']"
46eae367-7ba1-461e-b10d-abd4a9f2105e,Investigations by the Air Force inspector general and the Defense Department also are under way.,The Air Force inspector general and the Pentagon also are investigating.,"[6, 3, 29]","[3, 0, 29, 29, 29, 29, 29, 29, 29, 6, 6, 29, 0, 0, 0, 29]","[29, 29, 29, 29, 29, 29, 29, 6, 29, 0, 3, 29]","['Investigations', 'by', 'the', 'Air', 'Force', 'inspector', 'general', 'and', 'the', 'Defense', 'Department', 'also', 'are', 'under', 'way', '.']","['The', 'Air', 'Force', 'inspector', 'general', 'and', 'the', 'Pentagon', 'also', 'are', 'investigating', '.\n']"
7dead460-c9f4-4001-b12a-d6ba8d146837,"Gartner raised its own worldwide PC shipment forecast in August to 8.9 per cent growth for 2003, up from expectations of 7.2 per cent.","Gartner Inc. also raised its worldwide PC shipment forecast in August to 8.9 percent growth for 2003, up from expectations of 7.2 percent.","[29, 6, 6, 11, 25]","[6, 29, 11, 11, 29, 29, 29, 29, 29, 29, 29, 29, 0, 0, 29, 29, 29, 29, 29, 29, 29, 29, 29, 6, 6, 29]","[6, 6, 0, 29, 11, 29, 29, 29, 29, 29, 29, 29, 29, 0, 29, 29, 29, 29, 29, 29, 29, 29, 29, 6, 29]","['Gartner', 'raised', 'its', 'own', 'worldwide', 'PC', 'shipment', 'forecast', 'in', 'August', 'to', '8.9', 'per', 'cent', 'growth', 'for', '2003', ',', 'up', 'from', 'expectations', 'of', '7.2', 'per', 'cent', '.']","['Gartner', 'Inc.', 'also', 'raised', 'its', 'worldwide', 'PC', 'shipment', 'forecast', 'in', 'August', 'to', '8.9', 'percent', 'growth', 'for', '2003', ',', 'up', 'from', 'expectations', 'of', '7.2', 'percent', '.\n']"
b18235a9-6a61-463d-b286-1aa66e8ddeb5,"In Toronto, police said they arrested 38 people and reported 114 incidents, mostly for looting and other thefts.","Toronto police made 38 arrests linked to the blackout and reported 114 incidents, mostly for looting and other thefts, said Constable Mike Hayles.","[25, 29, 6, 25, 25, 25, 25]","[25, 25, 25, 25, 6, 0, 29, 25, 0, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[25, 29, 6, 29, 6, 25, 25, 25, 25, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 0, 0, 0, 0, 0, 29]","['In', 'Toronto', ',', 'police', 'said', 'they', 'arrested', '38', 'people', 'and', 'reported', '114', 'incidents', ',', 'mostly', 'for', 'looting', 'and', 'other', 'thefts', '.']","['Toronto', 'police', 'made', '38', 'arrests', 'linked', 'to', 'the', 'blackout', 'and', 'reported', '114', 'incidents', ',', 'mostly', 'for', 'looting', 'and', 'other', 'thefts', ',', 'said', 'Constable', 'Mike', 'Hayles', '.\n']"
19388c51-0448-4fe8-a29f-785437462cb3,"Her lawyers filed a lawsuit against the Dallas County district attorney, Henry Wade, challenging Texas's abortion laws.","In 1969, Ms. McCorvey's attorneys filed suit against Dallas County District Attorney Henry Wade challenging the state's abortion laws.","[6, 5, 5, 7, 18, 8, 25, 29]","[6, 5, 25, 0, 5, 25, 18, 18, 18, 8, 8, 18, 18, 18, 18, 25, 7, 25, 25, 25, 25]","[25, 25, 25, 6, 6, 6, 5, 0, 5, 0, 18, 18, 8, 8, 18, 18, 0, 0, 7, 0, 0, 0, 0]","['Her', 'lawyers', 'filed', 'a', 'lawsuit', 'against', 'the', 'Dallas', 'County', 'district', 'attorney', ',', 'Henry', 'Wade', ',', 'challenging', 'Texas', ""'s"", 'abortion', 'laws', '.']","['In', '1969', ',', 'Ms.', 'McCorvey', ""'s"", 'attorneys', 'filed', 'suit', 'against', 'Dallas', 'County', 'District', 'Attorney', 'Henry', 'Wade', 'challenging', 'the', 'state', ""'s"", 'abortion', 'laws', '.\n']"
500486cf-c5f9-40c6-99c5-9bc3f9d74a81,"Sen. Michael Crapo, R-Idaho, chairman of the subcommittee that will consider the nomination, is a longtime friend.","And Sen. Michael Crapo, R-Idaho, chairman of the subcommittee that first will take up the nomination, is a longtime friend of Kempthorne's.","[29, 6, 25, 25, 25]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 6, 29, 29, 29, 29, 29, 29, 29, 29]","[0, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 0, 29, 6, 6, 29, 29, 29, 29, 29, 29, 29, 0, 0, 0, 29]","['Sen.', 'Michael', 'Crapo', ',', 'R-Idaho', ',', 'chairman', 'of', 'the', 'subcommittee', 'that', 'will', 'consider', 'the', 'nomination', ',', 'is', 'a', 'longtime', 'friend', '.']","['And', 'Sen.', 'Michael', 'Crapo', ',', 'R-Idaho', ',', 'chairman', 'of', 'the', 'subcommittee', 'that', 'first', 'will', 'take', 'up', 'the', 'nomination', ',', 'is', 'a', 'longtime', 'friend', 'of', 'Kempthorne', ""'s"", '.\n']"
b2c9a6a9-9121-4f3b-b65a-f0f5e45c91bb,"Then they moved inside the mosque and started firing on the people,'' he told the Associated Press.","""Then they moved inside the mosque and started firing on the people.""","[25, 29, 21]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 25, 0, 25, 25, 25, 25, 25, 29]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 25, 29]","['Then', 'they', 'moved', 'inside', 'the', 'mosque', 'and', 'started', 'firing', 'on', 'the', 'people', ',', ""''"", 'he', 'told', 'the', 'Associated', 'Press', '.']","['``', 'Then', 'they', 'moved', 'inside', 'the', 'mosque', 'and', 'started', 'firing', 'on', 'the', 'people', '.', ""''\n""]"
2f675e0d-f96c-4af3-ae50-934be1174aa8,"""While the rest of America grapples with an economic downturn, recession has become a permanent way of life for much of rural America,"" Edwards said in a speech.","""While the rest of America grapples with an economic downturn, recession has become a permanent way of life for much of rural America.""","[25, 29]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 25, 25, 25, 25, 25, 0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","['``', 'While', 'the', 'rest', 'of', 'America', 'grapples', 'with', 'an', 'economic', 'downturn', ',', 'recession', 'has', 'become', 'a', 'permanent', 'way', 'of', 'life', 'for', 'much', 'of', 'rural', 'America', ',', ""''"", 'Edwards', 'said', 'in', 'a', 'speech', '.']","['``', 'While', 'the', 'rest', 'of', 'America', 'grapples', 'with', 'an', 'economic', 'downturn', ',', 'recession', 'has', 'become', 'a', 'permanent', 'way', 'of', 'life', 'for', 'much', 'of', 'rural', 'America', '.', ""''\n""]"
5b28d0e2-fd30-4395-9796-617f5c3b9dd6,Intel updated investors midway through the quarter and said business was proceeding exactly as planned.,"Intel said midway through its quarter, which ended in June, that business was exactly as expected.","[6, 6, 24, 26, 25, 25, 25, 29]","[0, 25, 25, 26, 26, 26, 26, 25, 24, 24, 24, 25, 24, 24, 24, 0]","[25, 25, 26, 26, 26, 26, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 25, 24, 25]","['Intel', 'updated', 'investors', 'midway', 'through', 'the', 'quarter', 'and', 'said', 'business', 'was', 'proceeding', 'exactly', 'as', 'planned', '.']","['Intel', 'said', 'midway', 'through', 'its', 'quarter', ',', 'which', 'ended', 'in', 'June', ',', 'that', 'business', 'was', 'exactly', 'as', 'expected', '.\n']"
