id,sentence1,sentence2,similarity
e3630b9c-2567-4820-94d9-18e4d9c1f773,And a large part of the east coast.,And parts of the west coast.,0.8
5a7f2903-af14-4379-b900-c2bd142a0a06,A young girl holds up a peace sign.,A little girl holds onto a pole on a city street.,0.6
7d2c9793-4357-493f-8c35-3c2e6efbc14b,I'm going to be very direct here.,"I'm going to be blunt, here: You don't.",4.0
9f3eaf79-8fdd-4e24-bc3f-7e77c2c589f7,Iran says UN nuclear talks will continue,Iran says nuclear talks with UN 'constructive',2.8
e73a2029-645b-4692-bf87-24c633bdb678,The women are sitiing down.,Two women are sitting close to each other and talking.,2.6
70106095-f194-4f62-b920-8890a16b5db9,Gunmen kill nine tourists in Pakistan,Gunmen Attack Hotel In Remote Pakistani Province,3.2
0387e4ee-5225-42fe-b2f4-5c34e03369d2,A golden dog is running on the grass.,The large beige dog is running through the grass.,3.4
624b607f-4bf4-4a83-a5f3-264b6aabd9bb,"Philippines, rebels reach wealth-sharing deal",Philippines and rebels reach 'wealth deal',5.0
01546ce2-b70a-4378-afd6-34a9cc8d4351,A man is playing a basketball.,A man is playing a piano.,1.4
d6d730d2-fa13-4431-b1ae-df86dc28add8,A cat is playing a piano.,A man is playing a guitar.,0.6
450b92de-9b0b-431b-8d03-e2cb542f6d7b,Fire kills 38 in Russian psychiatric institution,38 feared dead in Russian psychiatric hospital fire,3.6
1f738f86-2021-49a6-bddc-31698dadc2e4,Some cyclists stop near a sign.,Two men stop to talk near a sign outside.,3.4
09521667-5c9b-4f29-99f6-58d689032843,A woman is peeling an orange.,A man is playing a flute.,0.0
998a6c97-ea94-4c6b-a5d1-a6c59f5043f4,A train is running on the tracks.,A train is running down the track in a rural area.,4.0
0c9f163a-518a-401e-973d-87bff421253e,UN observers find traces of Syrian massacre,UN team investigates Syrian massacre,4.0
f81bebc1-0b83-4ee5-b0dc-7033a55f05a6,A black dog standing in a grassy area.,A long-haired dog stands in a grassy wooded area.,3.4
bd9e3d2f-50c3-4481-9ab6-a18b434016dc,George Zimmerman 'to be charged' with killing Trayvon Martin,"George Zimmerman to be charged in Trayvon Martin case, official says",4.0
296aa85c-daa6-4fcd-836d-422983d776bf,the part of the purpose of the united states plan is to increase pressure on north korea.,the united states and the allies of the united states believe iran is pursuing nuclear arms.,0.8
b1d7efb2-9bcc-4616-8cde-47966ae0466c,"Yolanda death toll climbs to 3,621",Kenya Red Cross says death toll rises to 68,0.4
37d6f5ed-e921-41ad-9615-dc4aafb23122,Jurors find Jodi Arias eligible for death penalty,"Jodi Arias eligible for death penalty, jury says",5.0
40cc0504-e00a-46d8-b960-7c188837d3ad,Gunmen kill 10 foreign tourists in northern Pakistan,"Islamic militants kill 9 foreign tourists, 1 Pakistani",2.6
f5852e9f-6812-4d6b-9ce6-0e7b9467bb41,"Kyi, a U.N. envoy says, as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed.","JAPAN added to growing international pressure on Burma yesterday, threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi.",3.0
38223082-85c9-41cd-a0b3-1846e4e63b08,A woman is cutting a cucumber.,A man is playing a guitar.,0.0
4a559f4d-33f6-4a0d-9ebe-bb7700aeba70,Japan scrambles jets against Russian military planes,"Separatists down Ukraine military plane, several dead",0.8
81c8306d-d1bd-4a2c-97b8-ffd455514234,Two little girls are talking on the phone.,A little girl is walking down the street.,0.5
5b1bbaf9-ed57-4f34-9d47-5b1850d3e3ad,Lebanese Gunmen Clash Over Syria Crisis,Syrians hold solution to Syria crisis,1.0
c1e230c4-e2f1-44dc-9484-9b421c7a931f,US Afghanistan general linked to Petraeus scandal,Senior US general linked to Petraeus scandal,3.8
93fb7cca-1151-4b01-beee-156825c7ebb7,Forecasters said warnings might go up for Cuba later Thursday.,Watches or warnings could be issued for eastern Cuba later on Thursday.,4.0
21f059c4-252d-4c69-a6a8-0f39aca7b297,"Shares closed on NASDAQ just below their 52-week high, at $32.17, up $1.54.","Trading of EchoStar's stock closed Tuesday at a 52-week high of $32.17, up $1.54.",3.25
83a78efe-386f-4656-8b4e-515e92bc412c,Egypt Army Launches New Air Raids on Sinai Militants,Egypt launches new assault against Sinai militants,3.4
f307a706-06d6-4aec-b7df-a5ff4ee13bf3,"It depends on what you want to do next, and where you want to do it.","They can, but the way to do it depends on what you have available.",1.0
a7b14bbb-29f6-4d52-91bf-ae73d81f0c72,police arrested 2 honduran drug trafficking suspects.,bulgarian police arrest head of drug trafficking group.,1.4
6d6fe1ee-e46a-4e70-b56f-fd683ca8e6ef,Exclusive-UPDATE 2-Egypt pro-Mursi alliance signals flexibility in talks,EXCLUSIVE-UPDATE 1-Egypt pro-Mursi alliance signals flexibility in talks,4.6
58c42522-d95d-418d-bf31-f64b967860cf,Iran ends cooperation agreement with Pakistan,"Iran, Tajikistan sign cooperation agreement",2.0
49bff820-2907-441d-b605-17c209a70d47,Could this have been an enema?,"@ossobuco, Could this have been an enema?",4.6
33448e7e-adf5-44db-87bd-9cb4333cf816,"Nationally, the federal Centers for Disease Control and Prevention recorded 4,156 cases of West Nile, including 284 deaths.","There were 293 human cases of West Nile in Indiana in 2002, including 11 deaths statewide.",1.667
d9754dd4-117d-4e00-8232-a6360f8db614,Assad says mercenaries are behind Syria unrest,Assad Accuses US of Fueling Syrian Uprising,3.3333333
cf5c651e-6970-480c-9d9d-ccfd7eb62b31,The doctor was helping the patient.,Doctors are trying to revive a man.,2.8
cdecc53e-85e5-41c6-a0b3-7c9f0d6cb493,chinese authorities were not immediately available for comment.,godzhayev and godzhayev's lawyers were not immediately available to comment.,1.0
d754a2fb-5178-4db5-b35b-e38ebb7b84cb,I've used Paint Shop Pro and DxO Optics Pro on Windows.,"In Linux I use Bibble, which is has some warts but which is the only serious option AFAICT.",0.8
80b1f23a-7e17-40df-8981-fb5ac6f3305e,The WHO experts didn't say how many cases in Hebei were in rural areas.,"Hebei has reported 191 cases and eight deaths, though the WHO experts did not say how many were in rural areas.",3.0
5b109a67-40a4-4828-8632-c812716edc2a,A man is climbing a rope.,A man climbs up a rope.,5.0
534b5a5e-d435-4dc3-97c2-b04f04ba1d45,A girl is playing a flute.,A band is playing on a stage.,1.286
7cda4e0a-0ff6-428a-b5cc-1f7c025082ca,Suicide bomber kills 12 in Nigeria church,Suicide bomber kills 21 in NW Pakistan,0.75
f36d38a3-d10e-4566-911e-c21008edfc84,"""Generally unwanted - and often pornographic or with fraudulent intent - spam is a nuisance and a distraction,"" Gates writes, warming us up for the punchline.","Generally unwanted—and often pornographic or with fraudulent intent —spam is a nuisance and a distraction,"" Gates writes.",4.2
b64f783e-be36-469b-84ca-d2ffd976e170,Three freed in centre abuse probe,Three storey building collapses in Ebute Meta,0.0
3088d37d-e457-4724-aa5c-4205926fe6f8,Critics say Putin’s security restrictions violate rights,Putin's security decree for Sochi draws ire of critics,3.2
f1ce9cf4-ee62-4b32-b386-2d58cf347255,A orange and white cat laying on a blanket in a black leather chair.,A ginger and white cat curled up and asleep on a leather chair.,3.8
c34b031c-fa96-4a94-ac06-60f78359d3e1,Arsenal v Stoke City ‚Äď live!,Tottenham v Manchester City ‚Äď live!,2.2
44b66fd6-0f8d-4418-b48a-daf59fa93f1f,Queen pays tribute to Nelson Mandela,US presidents pay tribute to Mandela,1.6
bf7c2ac3-cd0c-4ede-a74e-8295cf4da9e7,A person pours cooking oil into a pot.,A person is pouring olive oil into a pot on the stove.,3.8
bcbb72c1-5e24-427f-a8bb-1ac7abc6d302,Two women holding checkered flags near an orange car.,Two ladies in skimpy clothes pose next to an old fashioned car.,2.8
e05d1aaa-1f25-4863-87cd-cad067c253f2,"Rogers, Videotron extend reach with network-sharing deal","Rogers, Videotron reach network-sharing, spectrum deal",4.8
0f9ef611-592d-4605-97d0-6c19e59a036c,"Cmdr. Rod Gibbons, an academy spokesman, said, ""The academy is shocked and saddened.",Naval Academy spokesman Cmdr. Rod Gibbons said: ``Today's announcement came as a surprise.,3.25
9d5638a4-4bb6-462d-8c92-f4219b8eab55,China stock index futures close higher -- Dec. 4,China stock index futures close lower -- Jan. 24,2.2
768641d5-10a9-49fd-a2a6-9d7d69d75df8,Four dead in Indonesia train accident,Five dead as Indonesia train collides with fuel truck,3.4
e0d4c3dd-ebfd-4aac-bb47-792ac8dd7227,Apple app directs drivers to Alaska airport runway,Apple app sends drivers to airport,3.6
b99f26da-5a8f-4caa-b895-424a2ca1ae04,"My best, Kutte My ex-fiance wouldn't use the VA or Navy doctor's.",Jay My ex-fiance wouldn't use the VA or Navy doctor's.,3.6
2259f428-21d1-4840-9bab-ab82f5c79cc3,Putin casts ballot as Russians vote,Putin to win Russia's presidential election,1.4
b18a3e00-fe10-4d20-b9c2-ce918d73191f,A woman is peeling a potato.,A woman is peeling an apple.,2.0
a8e98d0f-eed7-4fbd-9263-9046d1c7efb9,Authorities appealed to the public Friday to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores.,Authorities looked to the public yesterday for help in solving the deadly sniper-style shootings of three people outside Charleston-area convenience stores.,3.8
80507f05-9cb2-4b1c-a230-e782d0ec38be,LURD's Ja'neh also called for an interim government and the deployment of a U.S.-led Western peacekeeping force.,The rebels are also calling for the deployment of a U.S.-led peacekeeping force.,3.0
b613d04f-9735-4cab-b472-52b1d6e59125,A woman is riding on a horse.,A man is turning over tables in anger.,0.0
b41eba8e-ba65-4c28-bdb9-ffc4d166e972,"The workers accuse General Dynamics of ""reverse age discrimination"" because of a change in retirement benefits in 1997.",General Dynamics was sued when it changed its retirement benefits in 1997.,2.6
6340faf0-d97e-4f2c-a379-5019156b83ac,Iran official: US visa denial to Iranian envoy will not affect nuke talks,Iranian negotiator upbeat about latest nuclear talks,2.6
2e0b753f-fcd8-4eb2-bbb6-82594a003a7f,2 car bombs kill 8 in southern Iraq,Car bombing kills 14 in northern Iraq,1.4
a6b56dbb-c443-4804-b95a-399980ba76c3,But she didn't say whether she'll certify the two-year $117.4 billion budget for 2004-05.,She said she didn't know yet whether she would certify the budget.,3.167
11b5ab4b-2e4f-4eac-b293-74e8f7c459bd,A man is playing a guitar.,A man plays the guitar.,5.0
b57e2394-5923-42bb-9034-a6a3dadaad66,A man holds a small animal in one hand.,A man shows off a small monkey.,1.75
ba81bdff-fb8d-4323-94e1-f4492676f4b2,I'm facing a similar situation; being Danish and living in (German-speaking) Austria.,An alternative would be to expose her solely or additionally to Hindi in daycare.,0.0
84dd1ad2-6739-4359-a153-ac0f4132875b,He was the Ace of Diamonds in a pack of cards depicting Iraqi fugitives that has been issued to U.S. troops.,He was the ace of diamonds in a U.S. deck of cards showing pictures of most-wanted Iraqi leaders.,4.0
6acf539d-340d-4b3d-88fc-be82cdf56857,"The euro soared to US$1.1914 in Asian trading, before slipping back slightly to US$1.1895 as trading opened in Europe.","The euro soared to $1.1914 in Asian trading, before slipping back to $1.1884 in late European trading, up from $1.1857 late Monday.",3.6
0d467cae-a540-4b6a-b807-829a9ccb0338,A man is talking on the phone.,A man is talking.,3.2
82b5aaee-60fa-4cf0-a0e3-2310008f4dc2,A black and white cat and dog on a striped couch.,A black and white cat standing in front of a window.,2.4
c8192f0e-d385-4884-8cd7-c6eda1f4c4c2,The man was pushed into the water.,A man pushes another man into the ocean.,2.5
be759dd9-80ac-4e46-80c2-18a4c04e2335,A green and white cargo plane taking of from an airport.,White and green commercial airliner taking off of runway.,3.6
8e6f8242-7a53-4d7d-9ec8-1b4faf03ffdf,Four boys are standing in front of the burning car.,Four young men stand still as a car explodes behind them.,3.75
49eb35f8-4865-4fb8-a400-d90d7712dc3a,The rule - When in doubt throw it out!,"I always go by the rule ""When in doubt, throw it out!",4.0
75260599-6150-4163-a95d-000b56501ed3,Coronation Street's Bill Roache Arrested,Coronation Street stars hail 'amazing' new set,1.2
b5066356-7f22-4256-8949-496f0e16189e,"The broader Standard & Poor's 500 Index <.SPX> gave up 11.91 points, or 1.19 percent, at 986.60.","The technology-laced Nasdaq Composite Index .IXIC declined 16.68 points, or 1.01 percent, at 1,636.94.",0.8
acb3b313-64d6-4188-a3d9-ef32d99e297b,A man climbing a rock-face.,A man is climbing a rock wall.,4.6
146cd0c2-9aa0-49b3-a0ae-de66a666d985,the united states government has accused the iranian government of trying to develop nuclear weapons under the cover of a civilian nuclear program.,the us and allies have accused iran of attempting to develop nuclear weapons under the guise of a civilian nuclear program.,4.6
f4d9a812-869b-4ec8-9d90-a9bbe38c59ae,Sens. John Kerry and Bob Graham declined invitations to speak.,The no-shows were Sens. John Kerry of Massachusetts and Bob Graham of Florida.,3.6
198e9250-d8e8-4b30-86bd-51ea1ad70af8,"At least 6 dead in Canada bus, train crash",At least 6 dead in Paris train crash,2.2
e7ab2e3a-4616-4c1f-8412-e4552bd75697,"Like Chris said above, stars rotate to conserve their angular momentum.","Stars are rotating, but that's not the cause for their stability.",3.4
c67f11db-4897-4236-b23f-a915d87918c9,A man is playing a guitar.,A guy is playing an instrument.,3.8
be7ed2bc-6f4b-4b99-a20d-8f5f0e3abd9d,5 aid workers freed in operation in Afghanistan,Suicide bomber kills 37 at mosque in Afghanistan,0.8
5527d6c0-316b-4058-93ed-5a1aaacc1aae,Women first appeared in the modern Olympics in Croquet at the 1900 Olympics.,"In 1900, the second modern Olympic games, 22 women competed in 5 events: tennis, sailing, croquet, equestrian, and golf.",3.2
f0bc84d2-8fa4-407a-b248-42b9a69e88df,How long after the obliteration should the kid return to school?,How long after the obliteration should it no longer bother the kid?,3.0
f41c9490-d8ea-4f47-9cc3-730bc116f3ce,There is a small desk and chair in front of the laundry room.,A room with tan walls and a washer and dryer.,1.4
504bb14d-ec7e-4030-885d-6c69185fc36f,helmand province is the world's largest producer of opium.,the areva group is the world's largest nuclear engineering firm.,0.0
3d8ebba7-c522-4ac4-b3b4-7b6862b5f55b,A woman is playing the flute.,A girl is playing a flute.,3.8
92decec1-484d-429f-8190-7a43b91812cc,China yuan strengthens to 6.2689 against USD,China yuan strengthens to new high against USD,3.0
aa680c06-2c3b-43c8-962f-45c2527d5538,Israel vows to deny Hezbollah after air strike,Car bomb kills four in Hezbollah Beirut bastion: minister,0.6
1f2cc973-4ef0-4ca3-90e8-bde38e4be88a,"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",3.8
e66d907a-eeb9-4f10-9022-0d1041ad7318,"Delhi Gang Rape Suspect 'Beaten, Poisoned'",Delhi gang-rape verdict deferred again,1.8
a2296aa8-a519-40db-80be-9c49f5146a3f,"Yes, there is a reason for it.","Yes, that is exactly what it means.",1.0
3e594e68-100a-4544-bd38-b8f7b84244ec,"Rich media doubled its share, increasing from 3% in Q2 2002 to 6% in Q2 2003.","Rich Media interactive ad formats doubled their share from 3% in second quarter of 2002, to 6% in the second quarter of 2003.",3.75
802bfa2f-6f20-44d7-b620-f55bbc292d1b,Two white dogs are walking through deep white snow.,Two white dogs walk through a huge bank of mountain snow.,4.6
0cc1e45b-b6eb-44d0-8268-f7e331bfff07,Two white cows in a green pasture.,The tan horse is in the pasture.,1.4
d2d663a4-4cef-42ac-9d81-8340347625b0,a brown and white dog is running on the grass.,The tan and black dog is running across the grass.,3.4
b12ce315-c142-49b9-a3a0-2e3d9a463afd,Fourteen killed in Brazil bus accident,Two killed in Arizona skydiving accident,0.6
debef7d6-c930-4cbf-9dcc-7f41018ea1de,South Korea regrets North's refusal of talks,"South Korea reports 14th Mers death, 12 new cases",1.0
5ff258ea-a022-435b-a3ca-16d6668b904e,European markets rise on Greek bailout hopes,European Ministers Are Poised to Approve Greek Rescue,2.2
0fb30c3c-6563-460b-8206-164dd9a562bb,Gunmen abduct seven foreign workers in Nigeria,Seven foreign workers kidnapped in Nigeria,3.4
d02dfbb6-d2a5-486a-9768-6215085ef86a,"""I do not wish to be present during this witness,"" he told Stanislaus County Superior Court Judge Al Girolami.","""Yes, I do not wish to be present during this witness,"" Peterson, 31, calmly told the judge as he was returned to his cell.",3.25
2626fb6b-a5da-46ba-b543-be70cb8f9241,sheep standing in afield.,A sheep grazing in a field.,3.2
f77f4552-1f17-4507-977f-5f7c20ff9f66,"Preliminary reports were that the men were not seen together at the airport, sources said.","The men had Pakistani passports and reportedly were seen together at the airport earlier in the evening, law enforcement sources said.",2.0
01db622a-545f-430f-ad66-359c4254d196,A baby in a red hat sitting in a stroller is holding a doll.,A man in a gray shirt sitting in a field of flowers.,0.0
24f37245-c223-4ced-acf3-65bb2cb7e5cd,A young child slides down an orange slide.,A little boy in denim overalls slides down an orange slide.,3.67
bb02a0bf-ab56-4400-bf9f-f5eb7b1b6b6c,Iran nuclear talks expected to resume this week,UK: Iran nuclear talks at a serious point,3.0
bda64bec-3e5d-4234-b565-27a0f542f559,"Out of touch and completely untrustworthy, however, wouldn't.",Out of touch and untrustworthy?,4.25
758a95f4-0670-4800-bc17-2e7b1c25a007,Forex &amp; Gold 6 March 2013,Forex & Gold 12 March 2013,2.6
1991e925-42ac-4d90-b188-a5b055a4ba86,Two Aust soldiers wounded in Afghanistan,4 foreign soldiers killed in Afghan east,1.2
ab5e0301-e4de-4b1d-8985-11e38cd94f05,Swiss vote on highest minimum wage,Swiss cast ballots on world's highest minimum wage,4.6
e9371e27-2c17-47db-9083-86addcfb7065,A man practicing boxing,A man practices boxing,5.0
8ba30732-46ab-4f1d-9465-7a121829df82,A man is playing soccer.,A man is playing flute.,1.0
2235e895-035a-4d1e-b26f-36273071d117,Protests sweep Brazil despite concession,Protests planned across Brazil despite concessions,4.0
4eb78035-0aa3-4a96-9f02-cb2f0bd2add5,Dozens killed in Russian plane crash,Ten killed in Alaska plane crash,1.4
4cbaf92c-fbfc-416f-8e81-ed029aa16814,A woman posing in front of an apartment building in the snow.,White bus parked in grass in front of building.,0.0
a2abc078-d6d2-42a4-b80c-c17c1a41e25a,A small dog looking up at the camera while standing on grass.,A man and women smiling at the camera while standing in a kitchen.,0.8
7661399a-7d66-49fe-a440-5bb68915b51e,State health officials said today a young northeast Kansas woman likely has the state's first case of monkeypox among humans or animals.,Health officials confirmed today that a northeast Kansas woman has the state's first case of monkeypox and the first case west of the Mississippi River.,3.5
b84ac49f-2e2f-47eb-9977-56f1651098d2,A man walks his dog on the beach.,A man with his dog on the beach.,4.4
0127fdb4-d4f3-4880-9d5a-407938a92e66,SC dismisses govt's review plea in Vodafone tax case,SC dismisses govt's review petition on Vodafone tax verdict,4.4
33e921bf-8d39-418e-b5cc-193855bcdd61,A dog sniffing the bottom of a door.,A black and white dog sniffing at a closed door.,3.8
4673090a-d035-4ebb-b598-e40fce0ecd1b,Singapore stocks end up 0.11 pct,Singapore stocks close 0.54 pct higher,2.2
43295810-c298-4425-a1a2-7d7566ba65ec,Nato airstrike kills two Afghan kids,Nato solider dies in Afghanistan,1.2
f5bfeb7f-0282-4134-bb96-f094a5db0911,Two women sitting on brown couch.,Two women standing outside of a bus.,1.0
e77bed49-20da-49e0-bf99-d6344aec074c,a group of old men walking down the street,A couple walking down the street.,2.0
c996b93d-1809-43a0-89a7-1884a960b093,A man is playing a wooden flute while several other men play bongo drums.,A man is playing a flute.,3.25
bbddb0c8-ca5e-4dfc-b435-1f8195bcf055,Man standing on top of jagged rocks near the ocean.,A man is standing on top of rocks overlooking the ocean.,4.6
d2dfb410-269b-48d0-aff8-2a7420fbf502,Three feared dead after helicopter crashes into pub,Three feared dead after helicopter pub crash,5.0
52d68630-026c-42fe-9278-19c6bb293d2a,"Revenues for ""The Hulk"" came in well below those of last month's Marvel Comics adaptation, ""X2: X-Men United,"" which grossed $85.6 million in its opening weekend.","The Hulk trailed last month's Marvel Comics adaptation, X2: X-Men United, which grossed $85.6-million in its opening weekend.",4.8
41a1e4e0-04e7-4e0f-89e3-54133272e2f8,Three dogs are playing in the white snow.,Two dogs are playing in the grass.,1.6
f1b7e45b-0572-4977-8d30-ef45ae4d21f9,A white animal running through snow covered woods.,A white dog runs through a snow covered wood.,3.4
6dfe1161-3c21-41f9-92ba-0999c736c448,"Michael Bloomberg, NYC Mayor: ""I'm gonna try march with a number of different groups.","""I'm going to try to march with a number of different groups,"" Bloomberg said.",3.75
14849bfe-bf4c-4f5f-809d-deaa235a603a,India starts voting in world's largest election,India voters kick off world‚Äôs biggest election,5.0
